"","Estimate","Std. Error","t value","Pr(>|t|)","model"
"(Intercept)...1",5.55145826968017,0.212674147000288,26.1031176002443,9.78802232008982e-101,"Real ITS"
"t2...2",0.0216825958059178,0.00245985269706899,8.81459114675988,1.31428331345364e-17,"Real ITS"
"intervention",0.847826351612729,0.244896541660674,3.46197764110311,0.000574623744075334,"Real ITS"
"post_intervention",0.00844032781772235,0.00250380966443349,3.37099418442896,0.000797430903797446,"Real ITS"
"(Intercept)...5",5.26093583242356,0.42635963894944,12.3391975970958,2.5913938295437e-31,"Placebo ITS"
"t2...6",0.0248504954442472,0.0185783940316294,1.33760191553369,0.181536433012946,"Placebo ITS"
"df_placebo",-0.085800251805435,0.440349276275651,-0.194845901714905,0.845579986813408,"Placebo ITS"
"post_time",0.00566671154002251,0.0185815126534675,0.304965028719825,0.760499253628253,"Placebo ITS"
