sigma_u,tau_true,tau_oracle_mean,tau_naive_mean,tau_cal_mean,tau_placebo_mean,tau_oracle_q025,tau_oracle_q975,tau_naive_q025,tau_naive_q975,tau_cal_q025,tau_cal_q975,beta_true,beta_oracle_mean,beta_naive_mean,beta_cal_mean
0.0,1.0,0.9736793624205415,0.9736793624205415,0.9736793624205428,-0.0031502627022823304,0.9736793624205418,0.9736793624205418,0.9736793624205418,0.9736793624205418,0.9736793624205424,0.9736793624205424,1.0,1.0154460156878038,1.0154460156878038,1.0154460156878042
0.2,1.0,0.9736793624205415,1.0095631344597593,1.0095631344597593,0.032989728645837366,0.9736793624205418,0.9736793624205418,0.9998955814365268,1.0198421684297132,0.9998955814365259,1.0198421684297128,1.0,1.0154460156878038,0.9685234288143086,1.0104551119668632
0.5,1.0,0.9736793624205415,1.175671827992605,1.1756718279926053,0.19836510080009542,0.9736793624205418,0.9736793624205418,1.1544247306090891,1.196742236461723,1.1544247306090893,1.1967422364617242,1.0,1.0154460156878038,0.7743791995941026,0.9775394965002248
1.0,1.0,0.9736793624205415,1.4450825448646587,1.4450825448646585,0.46351463253578207,0.9736793624205418,0.9736793624205418,1.4230368384283636,1.4695797918903146,1.4230368384283627,1.4695797918903157,1.0,1.0154460156878038,0.44952630036671376,0.9187107474405904
2.0,1.0,0.9736793624205415,1.6792297658657358,1.6792297658657362,0.6958946491992393,0.9736793624205418,0.9736793624205418,1.6555697396097153,1.6997151317706702,1.655569739609716,1.69971513177067,1.0,1.0154460156878038,0.17069113347261725,0.8754257381247995
