,coef,std_err,t,p_value
Intercept,0.03029335996689042,0.01570219465253799,1.9292436909125958,0.053700616535331314
C(block)[T.2],0.7204503941834268,0.017836883443680517,40.39104681365608,0.0
C(block)[T.3],1.259331240122755,0.01780475036189153,70.73007003895825,0.0
C(block)[T.4],1.8375513222819713,0.017747641432048277,103.53777595279584,0.0
C(block)[T.5],2.416965977947015,0.017792573836003186,135.8412785145394,0.0
C(block)[T.6],3.0761805255621475,0.01790052096229825,171.8486591558504,0.0
C(block)[T.7],3.80400335676876,0.017815701762492156,213.51970343247572,0.0
C(block)[T.8],4.776550580715721,0.017933822255843928,266.3431427262658,0.0
C(block)[T.9],6.123218402346925,0.0184292310780575,332.25577217041075,0.0
C(block)[T.10],9.550049396389735,0.029922193567098042,319.1627436997405,0.0
treat,1.6410285495605947,0.01688211896842911,97.2051288484252,0.0
